1,Lectura
2,Astronomia
3,Matematica 
4,Fisica
5,Debate
6,Teatro
7,Cine
8,Jazz
9,Guitarra
10,Marimba
11,Futbol
12,Basquetbol
13,Atletismo
14,Voleibol
15,Ajedrez
16,Gamers
